F1_factor,mean,median,std,count
FCF_P,0.11700945754822045,0.12126942739707458,0.04882071518999371,210
ROE,0.0941759773874935,0.10462901991487494,0.058594441119588656,210
ROIC,0.09399821545646118,0.10350235374594019,0.05646737104675249,210
EPS,0.09526987932436064,0.10348560357464087,0.056855751631371326,210
