variant,uid,as_of,symbol,V,F1_factor,F1_band,F1_nbands,F1_pass,F2_factor,F2_pass,C_source,C_rule,C_pass,V_pass,selected
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2024-12-31,tsmc,v0,PB,0,3,False,ACCRUAL,False,ROE,qmax4,True,,False
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2024-12-31,mtk,v0,PB,0,3,False,ACCRUAL,True,ROE,qmax4,False,,False
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-03-31,tsmc,v0,PB,0,3,False,ACCRUAL,True,ROE,qmax4,True,,False
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-03-31,mtk,v0,PB,0,3,False,ACCRUAL,True,ROE,qmax4,False,,False
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-06-30,tsmc,v0,PB,0,3,False,ACCRUAL,True,ROE,qmax4,False,,False
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-06-30,mtk,v0,PB,0,3,False,ACCRUAL,False,ROE,qmax4,True,,False
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-09-30,tsmc,v0,PB,0,3,False,ACCRUAL,False,ROE,qmax4,False,,False
baseline,TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-09-30,mtk,v0,PB,0,3,False,ACCRUAL,True,ROE,qmax4,True,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2023-12-31,tsmc,v0,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2023-12-31,mtk,v0,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-03-31,tsmc,v0,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-03-31,mtk,v0,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-06-30,tsmc,v0,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-06-30,mtk,v0,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-09-30,tsmc,v0,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-09-30,mtk,v0,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-12-31,tsmc,v0,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-12-31,mtk,v0,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,False,,False
baseline,TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2025-03-31,tsmc,v0,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,True,,False
