tree_id,level,cluster_id,n_members,m_target,n_picked,n_backfilled,picked_uids,naive_top_m_uids,avg_intra_corr_cluster,avg_pairwise_corr_picked,avg_pairwise_corr_naive,co_fail_peers
TW_normal,L1,1,305,3,3,0,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1|TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0|TW::EV_S_qb0of3__FCF_OI_qb1of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1|TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0|TW::P_IC_qb1of3__VOL_qb0of3__C5_ROE_DYN_yoy__v1,0.794,0.6923,0.7627,4
TW_normal,L1,2,202,3,3,0,TW::OCF_E_qb2of3__FCF_P_qb0of3__C4_ROE_DYN_qmax8__v0|TW::MOM_qb2of3__ACCRUAL_qb0of3__C5_ROE_DYN_yoy__v1|TW::EV_S_qb1of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW::OCF_E_qb2of3__FCF_P_qb0of3__C4_ROE_DYN_qmax8__v0|TW::OCF_E_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0|TW::PB_qb1of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,0.8188,0.7554,0.8592,3|5|6
TW_normal,L1,3,1654,3,3,0,TW::EV_S_qb0of3__None__C4_ROE_DYN_qmax8__v1|TW::OCF_E_qb2of3__FCF_P_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1|TW::PS_qb0of3__REVENUE_qb1of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,TW::EV_S_qb0of3__None__C4_ROE_DYN_qmax8__v1|TW::OCF_E_qb2of3__FCF_P_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1|TW::PS_qb0of3__REVENUE_qb1of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,0.7775,0.6975,0.6975,2|5|6
TW_normal,L1,4,2534,3,3,0,TW::OCF_E_qb2of3__CROIC_qb1of3__C11_EPS_DYN_qmax8__v0|TW::PB_qb1of3__NETDEBT_EBITDA_qb1of3__C11_EPS_DYN_qmax8__v0|TW::PB_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW::OCF_E_qb2of3__CROIC_qb1of3__C11_EPS_DYN_qmax8__v0|TW::PB_qb1of3__NETDEBT_EBITDA_qb1of3__C11_EPS_DYN_qmax8__v0|TW::PB_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,0.9168,0.8275,0.8275,1
TW_normal,L1,5,75,3,3,0,TW::P_IC_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0|TW::P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0|TW::P_IC_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v0,TW::P_IC_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0|TW::P_IC_qb0of3__ROIC_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0|TW::P_IC_qb0of3__ROIC_qb2of3__C5_ROE_DYN_yoy__v0,0.8824,0.8281,0.9531,2|3|6
TW_normal,L1,6,1909,3,3,0,TW::EV_S_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0|TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0|TW::EV_S_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,TW::EV_S_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0|TW::EV_S_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0|TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,0.8675,0.7682,0.9288,2|3|5
US_normal,L1,1,531,3,3,0,US::PB_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0|US::REVENUE_qb0of3__EV_EBITDA_qb0of3__C11_EPS_DYN_qmax8__v0|US::REVENUE_qb0of3__PB_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,US::PB_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0|US::REVENUE_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0|US::EPS_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,0.8135,0.6596,0.9598,6|7
US_normal,L1,2,1224,3,3,0,US::REVENUE_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0|US::REVENUE_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v0|US::EPS_qb0of3__OCF_E_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,US::REVENUE_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0|US::REVENUE_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0|US::REVENUE_qb0of3__PS_qb0of3__C3_ROE_DYN_qmax4__v0,0.7526,0.6942,0.7758,5
US_normal,L1,3,930,3,3,0,US::EPS_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0|US::EPS_qb0of3__ROE_qb2of3__C8_EPS_DYN_riseq1__v0|US::REVENUE_qb0of3__ACCRUAL_qb0of3__C8_EPS_DYN_riseq1__v0,US::EPS_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0|US::EPS_qb0of3__ROE_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0|US::EPS_qb0of3__ROE_qb2of3__C8_EPS_DYN_riseq1__v0,0.8383,0.7847,0.8095,
US_normal,L1,4,682,3,3,0,US::EPS_qb0of3__MOM_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1|US::EPS_qb0of3__MOM_qb2of3__C5_ROE_DYN_yoy__v1|US::REVENUE_qb0of3__NETDEBT_EBITDA_qb0of3__C12_EPS_DYN_yoy__v1,US::EPS_qb0of3__MOM_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1|US::EPS_qb0of3__MOM_qb2of3__C12_EPS_DYN_yoy__v1|US::EPS_qb0of3__MOM_qb2of3__C5_ROE_DYN_yoy__v1,0.7716,0.7117,0.8434,
